,Wizkid,Davido,Burnaboy
0,   I will not forgive you davido for not signing WizKid,"Since nobody is helping I want to sell my phone,
 Infinix hot 6x
My location is warri call or WhatsApp me with 0814… ","  ""Shey na here we go dey forever """
1,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…, Knocking kpo kpo kpo
2,"Wizkid fc I beg una ehn,  the way joro dey go ehn e fit go first come closer hit 100milli oo. 
Abeg let's stream CC… ","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…", You be big fool ..... Dem come tell you say  did not sold out at o2 arena
3,"      Wizkid fc and foolishness 5/6, somebo… ","5 minutes into my kidnapping 

Me: Bros, Abeg which one sabi sing pass. Davido or Wizkid ? ",  
4,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…","Follow  now🙏 DAVIDO Ghana🇬🇭Fanpage, 

30BG",           🦍
5,      Wizkid no dey brag to the extent tha… ,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","🔝 10 ALBUMS ON NG APPLE MUSIC

1️⃣ Ayra Starr EP 
2️⃣ Made in Lagos 
3️⃣ A Better Time 
4️⃣ WH…"
6,"Love my Baby, For You, Nobody,  All for Love, Picture perfect, Essence, True Love &amp; Sweet one. You see those Wizkid I men…",Davido is not your nigga + Ratio'd.,"Available as seen just dm

silhouettechallenge WhatsAppPrivacyPolicy earthquake MMRS ApologizeToLisa… "
7,"Wizkid’s album Made in Lagos is so good that there is a song for every moment. Classic body of work  

I find my se…","Wizkid FC after DAVIDO’s “The Best” Music video drops later today at 5pm 🌚 😂 

TheBestMusicVideo ",            W
8,"Wizkid is at number 159 on global digital artist ranking chart 📉
🐐","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…", “23” now has 5M+ streams on Spotify...
9,ss29 secondsonEP   silhouettechallenge wizkid davido burna united ,"My Roommate likes to slander Davido song's, so I told him if he doesn't stop I'll not share my foodstuff with him any mor…","New freestyle 🎧
beatstars dance Burnaboy davido freestyle Trending donjazzy oxlade FMSPeru ashantivskeyshiaco…"
10,"US APPLE MUSIC:

97. Wizkid — MadeinLagos [+2] ",Whatever Davido said in ''piece of me*😁🤪🤣 ,"2021, we taketh by force!!! Happy New year everyone! 🎉 "
11,"If Wizkid can make a NO STRESS merch, it would sell so much in the UK, imagine the female top having ""I'm the pretty pretty l…",".'s “JOWO” earned 11 Million views in 8 weeks.
— 6.2M+ (first 4 weeks)
— 4.8M+ (preceding 4 weeks)

30BG ABT","NOW PLAYING  

'Gbona' by 

 🔛 EdwumaMmr3  🌟

W/  x  


Tune In  📻"
12,Shun Obaseki’s directive – NUT orders teachers - School resumption -  Education Wizkid… ,.'s JOWO Music Video Has Now Crossed 11 Million Views On Youtube,  I no go fall your hand never
13,"Since we have all agreed that WizKid Made in Lagos is the best album of 2020, I think we have also concluded on these about…","Davidoatthe02arena x  

  
soldoutconcertpromoters o2arena smade smadeevents 

2YearsAgo h…","🔝 10 ALBUMS ON NG APPLE MUSIC

1️⃣ Ayra Starr EP 
2️⃣ Made in Lagos 
3️⃣ A Better Time 
4️⃣ WH…"
14,"put your hands on my shoooooooouuuuuu

Wizkid : ",You saw the way south africans took Davido's IF and made it blew like it was their record right? Watch same thing might…,   You think say dis be music e be real movie
15,"Wizkid and don bazy
Forever 💞💞 ","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","  ""If you call I go come deliver"""
16,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","2021, we taketh by force!!! Happy New year everyone! 🎉 "
17,"– MTV MAMAs 🏆 !

• Best Collaboration – “Smile”
• Best Fan-Base
• Artist of The Year 

VOTE WIZKID HERE: …","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","Introduction without dancing to  song is not possible 😩
First step to forever ❤️❤️❤️ "
18,"Ariana Grande and NICKI MINAJ's ""Side to Side"" has now surpassed 1 billion streams on Spotify. It’s the first all-female…"," OBO. See me naw.. I write that name with capital letters.. To show u be oga for this game 

I also need fin… ",   Thanks man
19, Lol wizkid is not known in Ghana like Davido and burna boy,Self confidence to me 💪🏽 ,"🎵🎶 Now Playing 📻: ""Odogwu""  on TheLateMegaMorningShow w/ 📢  x 

TheLateMegaMorningSho…"
20,"Wizkid is breaking all the records they sets, but it only takes Wizkid to break his own records. 🐐 

These ni66az ain't…","now playing a forever classic, NWA Baby by Davido 🔥💥", once said: 
21,   The song shatta spoil benyoce you’re still talking about it whilst wizkid is doing well wi…,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",   I no be babalawo ...
22,"*1 hour after being kidnapped*

""Can you please play Made in Lagos by Wizkid"" ","*5 minutes after getting kidnapped * 

me ; bros abeg remind me if 5PM don knack, i wan watch davido TheBestVideo for your…",This is lit  come here 😂😂😂🥶🥶🥶🥶🥶 
23,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",       Hahahahaha this guy… ,"When you see a soldier smile it's a good sign, that's the way it is in the Southside Real_life  🔥🔥🔥"
24,"Discover ""Smile (feat. H.E.R.)"" by Wizkid on MIL 
WizkidFCHL
", hi davido I am so happy chatting with you, “23” now has 5M+ streams on Spotify...
25,"FRAME 1: N15,000
FRAME 2: N15,000
FRAME 3: N15,000
FRAME 4: N18,000

 Or DM

Delivery Nationwide ✅…","NP: KPA-  X   
   
on the 1023Xtrashow with 


Your Radio Experience You Can Count On","When you see a soldier smile it's a good sign, that's the way it is in the Southside Real_life  🔥🔥🔥"
26,Everyone gotta listen to that Wizkid 😂 ,"     Bros the word ""sold out"" screams success in music and bus… ","🎵🎶 Now Playing 📻: ""Odogwu""  on TheLateMegaMorningShow w/ 📢  x 

TheLateMegaMorningSho…"
27,"Which track off Wizkid's Made In Lagos album did he mention👂

""Say na me de mess up your mind,but na me de make you free up…",davido and mayorkun on some master shifu and panda po levels. the best visuals 🤩,"Carpe Diem  
Twice As Tall  
Yellow  
Celia  
Alagbe "
28,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…",MiddayShowWithToolzandNadine NP' Zoom (rmx) -  x  x  , “23” now has 5M+ streams on Spotify...
29,"Which is your favorite combination of artist and producer with most hit songs ever?

      RT 🔃…",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,"  ""If you call I go come deliver"""
30,"Skepta : everything mad when i pull up with the goons, Ciroc boys ain’t f*ckin with Goose.

Wizkid: lai lai! 😂 …",  I need a RT from     for this timeless freestyle I recorded… ,"Has to be  's Twice As Tall man
The 'Level Up' song was created in an enchanted atmosphere "
31,"11:11

WIZKIDFC GAIN TRAIN 

Comment wizkid

Follow everyone who likes your comment 

Follow me for a quick FB 🔥 https:…","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","TeaBreak on YourNo1FamilyRadio with  x 

Now Playing 'Anybody' by 

 
Listen Live: https:…"
32,"Hian, wizkid into skin care now? ",“Activate” by Ghanaian Dancehall king  ft Nigerian Afrobeats heavyweight  has earned 3.4M+ views on Yo…,"freestyle...
Vibing on no beat

 
 



… "
33,"*5 minutes into kidnapping me*

Me: Boss abeg who you feel say better between Davido and Wizkid?? ", A better time ,   🔥🔥
34,"Trust me ,Made in lagos is wizkid best body of work ...i gass frame dah album put for palor!",".  ’s JOWO (official music video) has now garnered over 11M  views.. 

UP NEXT : THE BEST feat …",A good day to watch gingervideo  x 
35,"We honestly don’t know what Wizkid c Burnaboy did on Ginger!! Magical spiritual 🦅!! 

Next collabo coming out sooooonnnnn",Tomorrow 5pm. Directed by Dammy Twitch 💫🤬,"  ""Angeli Angelina, you dey cool my temperature"""
36,"Most Streamed Nigerian Label songs on YouTube (Audio + Video)

1. Starboy - Wizkid Soco - 127.2M
2. Mavina - Adaobi - 47…", Do you know you can make thousands of naira selling your dead/condemned inverter batteries?we do pick up… ,"🎵🎶 Now Playing 📻: ""Odogwu""  on TheLateMegaMorningShow w/ 📢  x … "
37,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","is there any women vendor that sells shoe, bag or any other thing ladies love on the timeline? 

Direct me to one lemm…", once said: 
38,      I told him to show us solid p… ,You saw the way south africans took Davido's IF and made it blew like it was their record right? Watch same thing might…,"God bless our week and provide for the weak 🙌🏽
 
 
"
39,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",Don Gordon by  is that feel good song! Bangerrr🔥🦍
40,Dj Cuppy x Wizkid God when 🤔🥰🥰,"The Best video is insane. OMG 

Davido makes the best music videos.","  
twiceastall"
41, Wizkid. 🙂,".'s ''A Good Time"" Album Has Now Crossed 115 Million Streams On Audiomack
30BG","When you see a soldier smile it's a good sign, that's the way it is in the Southside Real_life  🔥🔥🔥"
